latitude,longitude,timestamp
-14.0499,-45.4602,1769260954
-13.7015,-45.1913,1769260961
-13.3526,-44.9231,1769260968
-12.8787,-44.5607,1769260977
-12.529,-44.2945,1769260984
-12.1039,-43.9724,1769260993
-11.7535,-43.708,1769261000
-11.4029,-43.4443,1769261007
-11.0518,-43.1813,1769261014
-10.7257,-42.9378,1769261021
-10.2235,-42.5643,1769261031
-9.8211,-42.2663,1769261039
-9.4689,-42.0063,1769261046
-9.0662,-41.7099,1769261054
-8.5623,-41.3405,1769261064
-8.184,-41.064,1769261071
-7.8308,-40.8066,1769261078
-7.4521,-40.5312,1769261086
-6.7447,-40.0188,1769261100
-6.3905,-39.763,1769261107
-5.8846,-39.3985,1769261117
-5.4037,-39.0529,1769261126
-5.049,-38.7986,1769261133
-4.5417,-38.4353,1769261143
-4.1868,-38.1817,1769261150
-3.7811,-37.8922,1769261158
-3.4259,-37.6391,1769261165
-3.0961,-37.4043,1769261172
-2.7407,-37.1515,1769261179
-2.3853,-36.8989,1769261186
-2.0553,-36.6645,1769261192
-1.6998,-36.4122,1769261199
-0.5822,-35.6197,1769261221
-0.2266,-35.3677,1769261228
0.18,-35.0795,1769261237
0.5102,-34.8455,1769261243
1.6278,-34.0531,1769261265
2.0341,-33.7647,1769261273
2.3642,-33.5302,1769261280
2.7197,-33.2776,1769261287
3.1259,-32.9886,1769261295
3.4558,-32.7537,1769261301
3.811,-32.5005,1769261308
4.3184,-32.1383,1769261318
4.8256,-31.7756,1769261328
5.1551,-31.5394,1769261335
6.9025,-30.281,1769261369
7.2566,-30.0245,1769261376
7.6104,-29.7676,1769261383
7.9642,-29.5101,1769261390
8.3177,-29.2522,1769261397
8.6964,-28.9751,1769261405
9.1503,-28.6419,1769261414
9.5535,-28.345,1769261422
11.2887,-27.0548,1769261456
11.6149,-26.8098,1769261463
13.0922,-25.6895,1769261493
13.4668,-25.4024,1769261500
13.816,-25.1335,1769261507
14.3144,-24.7479,1769261517
14.6388,-24.4955,1769261524
14.9869,-24.2234,1769261531
15.3345,-23.9505,1769261538
16.0038,-23.4211,1769261551
16.3503,-23.1451,1769261558
16.6963,-22.868,1769261565
17.0418,-22.5897,1769261572
17.3623,-22.3303,1769261579
17.707,-22.0498,1769261586
18.0513,-21.768,1769261593
18.3705,-21.5054,1769261599
18.8606,-21.0992,1769261609
19.2031,-20.8133,1769261616
19.545,-20.5261,1769261623
20.0083,-20.134,1769261633
20.3976,-19.8018,1769261641
21.077,-19.2161,1769261655
21.5366,-18.8154,1769261664
21.8744,-18.5184,1769261671
22.356,-18.0913,1769261681
22.6923,-17.7904,1769261688
23.0282,-17.4876,1769261696
23.3635,-17.1831,1769261703
23.6978,-16.8771,1769261710
24.0076,-16.5914,1769261716
24.6725,-15.9712,1769261730
26.2979,-14.4107,1769261765
26.6252,-14.0883,1769261772
26.9283,-13.7872,1769261778
27.4164,-13.2969,1769261789
27.8797,-12.8253,1769261799
28.1795,-12.5166,1769261805
28.5015,-12.1821,1769261812
28.8226,-11.8453,1769261819
29.1655,-11.482,1769261827
29.4844,-11.1405,1769261834
29.8479,-10.7471,1769261842
30.2775,-10.2761,1769261851
30.5927,-9.9262,1769261858
30.9518,-9.5231,1769261866
31.2647,-9.1679,1769261873
31.5764,-8.81,1769261880
31.887,-8.4495,1769261887
32.1744,-8.1124,1769261894
32.4827,-7.7468,1769261901
32.8116,-7.3521,1769261909
33.1607,-6.9277,1769261917
33.7246,-6.23,1769261930
34.1552,-5.6866,1769261940
34.5833,-5.1367,1769261950
34.987,-4.6091,1769261959
35.2828,-4.2168,1769261966
35.619,-3.7647,1769261974
35.8906,-3.3944,1769261981
36.1818,-2.9925,1769261988
36.4713,-2.5873,1769261995
36.7599,-2.1782,1769262002
37.1484,-1.6182,1769262011
37.4124,-1.2317,1769262018
38.2945,0.0978,1769262040
38.5519,0.4972,1769262046
39.411,1.8718,1769262068
39.6804,2.3167,1769262075
